int_col_0,float_col_1,int_col_2,float_col_3,int_col_4,float_col_5,int_col_6,float_col_7,int_col_8,float_col_9,str_col_0,str_col_1,str_col_2,str_col_3,str_col_4,str_col_5,date_col_0,date_col_1,bool_col_0,bool_col_1,id
245,600.2204507953534,970,653.5257058381138,976,222.08386710184115,937,11.429488762161544,29,7.114746393588445,QsFmxgNaEt,ZCinzILKtB,aJoezGvoTi,XzzoBrfNqq,DoYKtvHjAb,bcAzyhNZPU,2023-12-19 18:47:53,2020-02-07 00:45:19,True,True,id_0
789,576.1473304359237,784,443.5622468263288,417,671.5970926381344,717,306.0393540016029,486,424.2961121916158,zXlbPVqAxZ,CtLqmUTedq,ilSpXPoPDf,yOwErFKzoy,wrDVCglJgK,JpKwazHrkK,2021-05-05 20:16:36,2022-08-19 19:51:52,False,True,id_1
414,292.67666904597934,481,735.8532411277216,930,958.998693090433,450,490.0359805514144,59,874.2665478903646,gPOUyoQmAj,dvzALnJhMf,IoePULEkBy,WHxbQpZrGM,BVvrdtyfxN,qIoDqeqIOk,2021-10-26 08:17:20,2023-04-01 19:54:56,False,True,id_2
369,321.97385877481065,159,604.1152793893799,690,523.8981404472571,876,186.61843806891164,904,206.24104321874037,YfPvsUoNIf,QmEaYIfOFI,EcPqlJxnhe,qYkkkyJhzp,RmdCsIgtAE,GVkNqPxnWZ,2023-02-24 23:10:38,2020-04-06 01:44:25,False,False,id_3
358,665.1000910633705,485,378.38899129230197,442,176.6651489212021,311,186.3099859924585,458,888.317146206364,kAtmJkNYxV,yOpbsRrdTq,lLQbNBqlfr,dpkNhViiZM,iLgjrKkdNk,adlceEeths,2022-12-04 23:50:43,2023-10-19 23:14:33,False,True,id_4
219,824.1184959917925,546,944.4993841042309,718,12.106831929686535,260,703.2736485775708,77,870.5825088291465,znLciCtELk,DvhdnVTsHw,mZZiBOPsAo,WhEimmdhWM,VtywrGNWZk,zqiHYpSYyO,2022-06-24 16:06:58,2023-04-02 05:39:30,True,False,id_5
315,320.47003461537213,649,347.4678704983261,969,277.1483769495098,229,410.93117707202845,719,996.6224405361166,RRxIwXmJXG,xTdaQyJNBF,FvzEGqROuR,jjEBHjBQlM,nHSozjoULM,nRBgsNfUKE,2020-03-19 06:05:36,2021-06-15 02:48:04,False,False,id_6
534,213.37279203250048,747,383.61767980102456,293,543.408301389416,737,508.7220061476759,677,707.0633781576761,iVLbtooAZW,jyLYmmjwJx,DuuMwPZZPW,PPmjGpTTjc,lPdwVprKCv,bOHwuCkDWc,2022-01-18 07:11:38,2023-08-31 11:42:54,False,False,id_7
483,967.1829556604392,159,674.5920326733711,154,103.68520970770645,872,180.32766254906753,242,81.18350807327734,eHeCAQfgVb,YqHqKEVGlR,dzBKZXTgxI,VESyeGZZfT,VLEBuVMXCh,jozZRxgTCh,2021-01-30 03:10:41,2022-03-19 00:38:40,False,True,id_8
974,843.933363155676,692,110.37124133347054,226,838.3500434520429,74,968.0296160470883,546,55.294060104496445,nVrZakYLMk,YgBkMgZosO,RGmJZPgGtL,YXhiYYchPb,SLxVDGtcUn,ZldbReMqpz,2021-04-18 09:13:12,2023-01-27 03:05:49,False,False,id_9
420,773.7995151044771,57,433.6800626816133,574,691.2406849948836,372,375.55408230045396,644,365.0313702171689,IosqIzCPPD,EKVMuFwbMJ,ZeUwUocrlI,PHTfiYYrMg,KnYlQiCqVK,cAmtCKnkEn,2023-03-21 09:57:00,2021-06-05 23:08:25,False,False,id_10
837,113.77020192563737,249,428.6843930337586,567,774.5569393329655,954,420.0392284289943,837,138.45246704648684,FNlpyrmYJK,sWacdrzyjl,mtilmNcPii,dQvGcHzvxP,BjVjaJcBMb,SnhkKnVEOq,2023-08-31 06:42:57,2023-05-09 22:35:23,True,True,id_11
328,800.8969815697177,361,839.1246814669603,898,139.62226934459443,193,16.237828800514276,963,811.3866810490827,xxWoVdWhBS,YByOzIzoeY,nqusqnpWVc,fBudwChhyf,ohzLHwRkDH,yDGvvWymKa,2023-04-10 22:05:22,2020-06-22 18:59:07,True,True,id_12
549,256.8939218624291,595,86.82739817167639,393,500.940139389434,786,284.0250211109853,757,102.96203368090406,QbckUDthxx,obMGMHpsCj,NAOMcpLZku,EySTfLrpIP,TLvvWHNIkR,DMgtlfudOL,2023-06-20 02:33:47,2023-04-14 02:40:05,False,False,id_13
31,723.8437030305039,887,326.40928922804267,361,230.92886734839934,144,624.7429650725282,35,626.817513871488,BvoZbGHRUP,skDwOGoUQe,LjtftsFMMf,ieLsRCikpB,nJwaPGorEd,HmlrkbPaIz,2022-12-21 01:15:30,2022-06-07 03:16:21,False,False,id_14
586,966.6711247827596,565,672.427033177776,618,131.189758992313,283,82.35451499930946,621,889.4704021239272,uXvNYIWQKp,RzVGnJLvaH,DchFEbbcYi,xxNHCwcXuF,wsmrOxWRRq,CoitulrayR,2023-09-22 11:58:39,2022-03-28 07:25:48,True,False,id_15
244,14.201437226875612,618,927.999740238542,305,795.2158729332078,718,822.561495900133,102,16.902818527723127,cNwDucAMla,iomVgbvRwv,omMTnLuUyM,mRJAOXaEGi,MUyMjQzIjI,bApfyXJjGG,2023-10-31 21:35:14,2020-07-27 11:59:43,True,False,id_16
759,159.1132239601064,580,14.925400002447354,414,531.9988684091028,306,88.29632657241471,612,477.6150820122851,kmkDIDutYz,iWeiuYFaGL,zNNyTcWGDG,XRvNZwTbCP,wazGkyqAWf,uXneummYOG,2021-09-10 01:38:41,2022-08-23 00:43:25,False,True,id_17
